F,K,vol,T,pred,actual,err 
1.034492906928187461e-02,4.677022525095913402e-02,1.081293542188544593e-02,2.589650551397427947e+00,9.926698194392833069e-05,1.146411675635072613e-04,1.537418561957893115e-01
2.604510734846156653e-02,4.967313693040576426e-03,2.638344352729637965e-03,3.619484738117731748e+00,2.059024035432224439e-02,2.107780821747343505e-02,4.875678631511906502e+00
1.364693017586004684e-02,3.768230436403647438e-02,4.272211535294050989e-03,4.786948192835767557e+00,2.723396796592429713e-04,1.498275250273282306e-05,2.573569271565101513e+00
4.226917934902914981e-02,1.363788074110595938e-02,1.324478784315808941e-02,4.039940706801311343e+00,3.073369726057669296e-02,3.054831147181530718e-02,1.853857887613857836e+00
2.055001813994566939e-03,1.127064862295156650e-02,4.973459859302192289e-03,4.186194120600554847e+00,1.439377094830328416e-03,1.011438587423325397e-03,4.279385074070030548e+00
4.505713172665881672e-02,3.643129379939739898e-02,1.326521088582590172e-02,1.557434754203028959e-01,8.469995903669836138e-03,8.734466303761428962e-03,2.644704000915928166e+00
2.817169654106687834e-02,4.957937255499758437e-03,1.464924769723722001e-02,4.173640294388121674e+00,2.705776049150480228e-02,2.696817503280368733e-02,8.958545870111495057e-01
7.290575378634829747e-03,2.424671581448456514e-02,1.068290653996154665e-02,3.370668422987997292e+00,1.768285961974500357e-03,2.101139707852806449e-03,3.328537458783060732e+00
3.403889357547155298e-05,2.240182751012231854e-02,1.002088266929960017e-02,4.342965073611699367e+00,1.110321051630439124e-03,1.516844841190916884e-03,4.065237895604777663e+00
4.904254363725094046e-02,3.600506063654216292e-03,1.207516221938054191e-02,4.323261873167581371e+00,4.574979405239323199e-02,4.579160711707711690e-02,4.181306468388490405e-01
2.840046535797341107e-02,3.328106086638910749e-02,9.401921565897981836e-03,3.647493251046990181e+00,4.865354630358571450e-03,4.986176608080753435e-03,1.208219777221819946e+00
4.069680032288180288e-02,3.079536492141262891e-02,1.204143929441618341e-02,3.894233971794971882e+00,1.477329583492373831e-02,1.524179613794451882e-02,4.685003030207805175e+00
1.471611654557702584e-02,3.929455875819138494e-02,9.797263317505206653e-03,2.505745593386500492e+00,3.247048352506643008e-04,3.735479987198666880e-04,4.884316346920238860e-01
5.121564518171189441e-03,4.842239199839962899e-02,4.911901263697046605e-03,3.615636612862867416e+00,7.350067565455713507e-05,3.301939671075617540e-09,7.349737371488604953e-01
5.604492766254856422e-03,4.542531257565819713e-02,5.900334155907372216e-03,1.228977191660307611e+00,2.025662331254322258e-05,5.854839050746765952e-13,2.025662272705931743e-01
3.713260717028579738e-02,3.267700467846462731e-02,5.799582313313057097e-03,3.479555428665157990e+00,7.234168763082899842e-03,6.904631384124520002e-03,3.295373789583798452e+00
-6.742975190937566116e-04,4.447870177072179437e-04,1.001680757385771045e-02,8.830305561895638311e-01,4.009207110338979148e-03,3.222115533728466159e-03,7.870915766105129663e+00
1.186460347563200388e-02,4.773388352476164165e-02,5.993347879527296043e-03,3.016304028412166160e-01,1.829846881553147026e-05,1.765743972650061593e-31,1.829846881553147120e-01
5.029271848908408067e-03,-4.973106449624214304e-03,1.286504485047483201e-02,3.249556845363997581e+00,1.464511453227721437e-02,1.510057164213866182e-02,4.554571098614474955e+00
4.517286265005365092e-02,1.708060019427725187e-02,1.041146392903286033e-02,1.007075568356163631e+00,2.814108122013292065e-02,2.810375467846808889e-02,3.732654166483176383e-01
1.588583149778181880e-02,1.525090993249669444e-02,3.497080061452219682e-03,1.564689958713813445e+00,3.230951732312951300e-03,2.080948960342849513e-03,1.150002771970101811e+01
3.263743182306566570e-02,1.232016678104317850e-02,1.207569068472877719e-02,4.935064292235399108e+00,2.380851405174226956e-02,2.379139457103822408e-02,1.711948070404548106e-01
2.620920222613426151e-02,3.380298960993361607e-02,1.023931087286178432e-02,7.277373793907560007e-01,1.571646023130011905e-03,9.276162139149625972e-04,6.440298092150492870e+00
4.694640304877224085e-02,8.211307701877938736e-03,1.126945348021846094e-02,1.187986547947581517e+00,3.919650200351655622e-02,3.873779627968964440e-02,4.587057238269117931e+00
-3.968206175497222821e-04,-2.046593813604634382e-04,6.758249490673734310e-03,3.396788110321105947e+00,5.102009589783214685e-03,4.873619617386382510e-03,2.283899723968321638e+00
1.373035425058100056e-02,3.973705738169832496e-02,5.963046187408063518e-03,1.585205365315487613e+00,7.563135718077888564e-05,5.064215446862983277e-07,7.512493563609259350e-01
